FILE                                           	SEEING	
ATLAS_19p9_m26p6_r_SDSS.V0.5.6A.swarp.cut.fits 	0.82  	
ATLAS_19p9_m32p5_r_SDSS.V0.5.6A.swarp.cut.fits 	0.97  	
ATLAS_1p2_m29p6_r_SDSS.V0.5.6A.swarp.cut.fits  	0.74  	
ATLAS_1p3_m26p6_r_SDSS.V0.5.6A.swarp.cut.fits  	0.83  	
ATLAS_1p3_m32p5_r_SDSS.V0.5.6A.swarp.cut.fits  	1.13  	
ATLAS_1p5_m35p5_r_SDSS.V0.5.6A.swarp.cut.fits  	0.88  	
ATLAS_1p6_m27p6_r_SDSS.V0.5.6A.swarp.cut.fits  	0.84  	
ATLAS_1p6_m30p6_r_SDSS.V0.5.6A.swarp.cut.fits  	0.88  	
ATLAS_1p8_m33p5_r_SDSS.V0.5.6A.swarp.cut.fits  	0.69  	
ATLAS_20p1_m34p5_r_SDSS.V0.5.6A.swarp.cut.fits 	1.03  	
ATLAS_20p4_m31p5_r_SDSS.V0.5.6A.swarp.cut.fits 	0.65  	
ATLAS_20p5_m25p6_r_SDSS.V0.5.6A.swarp.cut.fits 	0.99  	
ATLAS_20p6_m33p5_r_SDSS.V0.5.6A.swarp.cut.fits 	1.01  	
ATLAS_21p0_m26p6_r_SDSS.V0.5.6A.swarp.cut.fits 	0.79  	
ATLAS_21p0_m30p6_r_SDSS.V0.5.6A.swarp.cut.fits 	0.78  	
ATLAS_21p1_m32p5_r_SDSS.V0.5.6A.swarp.cut.fits 	1.06  	
ATLAS_21p2_m34p5_r_SDSS.V0.5.6A.swarp.cut.fits 	0.94  	
ATLAS_21p6_m25p6_r_SDSS.V0.5.6A.swarp.cut.fits 	1.04  	
ATLAS_21p6_m31p5_r_SDSS.V0.5.6A.swarp.cut.fits 	0.95  	
ATLAS_21p7_m33p5_r_SDSS.V0.5.6A.swarp.cut.fits 	0.90  	
ATLAS_22p1_m26p6_r_SDSS.V0.5.6A.swarp.cut.fits 	0.77  	
ATLAS_22p1_m30p5_r_SDSS.V0.5.6A.swarp.cut.fits 	0.74  	
ATLAS_22p2_m32p5_r_SDSS.V0.5.6A.swarp.cut.fits 	0.81  	
ATLAS_22p4_m34p5_r_SDSS.V0.5.6A.swarp.cut.fits 	1.07  	
ATLAS_22p7_m25p6_r_SDSS.V0.5.6A.swarp.cut.fits 	0.77  	
ATLAS_22p7_m31p5_r_SDSS.V0.5.6A.swarp.cut.fits 	0.99  	
ATLAS_22p9_m33p5_r_SDSS.V0.5.6A.swarp.cut.fits 	1.39  	
ATLAS_23p2_m26p6_r_SDSS.V0.5.6A.swarp.cut.fits 	0.72  	
ATLAS_23p2_m30p5_r_SDSS.V0.5.6A.swarp.cut.fits 	0.80  	
ATLAS_23p4_m32p5_r_SDSS.V0.5.6A.swarp.cut.fits 	0.78  	
ATLAS_23p6_m34p5_r_SDSS.V0.5.6A.swarp.cut.fits 	1.36  	
ATLAS_23p8_m25p6_r_SDSS.V0.5.6A.swarp.cut.fits 	0.79  	
ATLAS_23p8_m29p6_r_SDSS.V0.5.6A.swarp.cut.fits 	0.78  	
ATLAS_23p9_m31p5_r_SDSS.V0.5.6A.swarp.cut.fits 	1.13  	
ATLAS_24p1_m33p5_r_SDSS.V0.5.6A.swarp.cut.fits 	1.21  	
ATLAS_24p3_m26p6_r_SDSS.V0.5.6A.swarp.cut.fits 	0.70  	
ATLAS_24p4_m30p5_r_SDSS.V0.5.6A.swarp.cut.fits 	0.83  	
ATLAS_24p6_m32p5_r_SDSS.V0.5.6A.swarp.cut.fits 	0.83  	
ATLAS_24p8_m34p5_r_SDSS.V0.5.6A.swarp.cut.fits 	1.31  	
ATLAS_24p9_m25p6_r_SDSS.V0.5.6A.swarp.cut.fits 	0.80  	
ATLAS_24p9_m29p6_r_SDSS.V0.5.6A.swarp.cut.fits 	0.86  	
ATLAS_25p0_m31p5_r_SDSS.V0.5.6A.swarp.cut.fits 	1.08  	
ATLAS_25p2_m36p5_r_SDSS.V0.5.6A.swarp.cut.fits 	0.90  	
ATLAS_25p3_m33p5_r_SDSS.V0.5.6A.swarp.cut.fits 	1.22  	
ATLAS_25p4_m26p6_r_SDSS.V0.5.6A.swarp.cut.fits 	0.77  	
ATLAS_25p5_m30p5_r_SDSS.V0.5.6A.swarp.cut.fits 	0.76  	
ATLAS_25p7_m32p5_r_SDSS.V0.5.6A.swarp.cut.fits 	0.83  	
ATLAS_25p9_m25p6_r_SDSS.V0.5.6A.swarp.cut.fits 	0.79  	
ATLAS_26p0_m29p6_r_SDSS.V0.5.6A.swarp.cut.fits 	1.07  	
ATLAS_26p0_m34p5_r_SDSS.V0.5.6A.swarp.cut.fits 	1.18  	
ATLAS_26p2_m31p5_r_SDSS.V0.5.6A.swarp.cut.fits 	1.18  	
ATLAS_26p4_m33p5_r_SDSS.V0.5.6A.swarp.cut.fits 	1.08  	
