FILE                                           	SEEING	
ATLAS_17p6_m32p5_g_SDSS.V0.5.6A.swarp.cut.fits 	1.34  	
ATLAS_17p7_m26p6_g_SDSS.V0.5.6A.swarp.cut.fits 	1.06  	
ATLAS_17p7_m34p5_g_SDSS.V0.5.6A.swarp.cut.fits 	1.24  	
ATLAS_18p1_m29p6_g_SDSS.V0.5.6A.swarp.cut.fits 	0.67  	
ATLAS_18p1_m31p5_g_SDSS.V0.5.6A.swarp.cut.fits 	0.68  	
ATLAS_18p2_m27p6_g_SDSS.V0.5.6A.swarp.cut.fits 	1.08  	
ATLAS_18p2_m33p5_g_SDSS.V0.5.6A.swarp.cut.fits 	1.06  	
ATLAS_18p3_m25p6_g_SDSS.V0.5.6A.swarp.cut.fits 	1.04  	
ATLAS_18p7_m28p6_g_SDSS.V0.5.6A.swarp.cut.fits 	0.86  	
ATLAS_18p7_m32p5_g_SDSS.V0.5.6A.swarp.cut.fits 	1.35  	
ATLAS_18p8_m26p6_g_SDSS.V0.5.6A.swarp.cut.fits 	1.19  	
ATLAS_18p9_m34p5_g_SDSS.V0.5.6A.swarp.cut.fits 	1.12  	
ATLAS_19p3_m29p6_g_SDSS.V0.5.6A.swarp.cut.fits 	0.69  	
ATLAS_19p3_m31p5_g_SDSS.V0.5.6A.swarp.cut.fits 	0.66  	
ATLAS_19p4_m25p6_g_SDSS.V0.5.6A.swarp.cut.fits 	0.93  	
ATLAS_19p4_m33p5_g_SDSS.V0.5.6A.swarp.cut.fits 	1.00  	
ATLAS_19p9_m26p6_g_SDSS.V0.5.6A.swarp.cut.fits 	1.31  	
ATLAS_19p9_m32p5_g_SDSS.V0.5.6A.swarp.cut.fits 	1.36  	
ATLAS_1p2_m29p6_g_SDSS.V0.5.6A.swarp.cut.fits  	0.85  	
ATLAS_1p3_m26p6_g_SDSS.V0.5.6A.swarp.cut.fits  	0.84  	
ATLAS_1p3_m32p5_g_SDSS.V0.5.6A.swarp.cut.fits  	0.63  	
ATLAS_1p5_m35p5_g_SDSS.V0.5.6A.swarp.cut.fits  	0.97  	
ATLAS_1p6_m27p6_g_SDSS.V0.5.6A.swarp.cut.fits  	1.05  	
ATLAS_1p6_m30p6_g_SDSS.V0.5.6A.swarp.cut.fits  	0.80  	
ATLAS_1p8_m33p5_g_SDSS.V0.5.6A.swarp.cut.fits  	0.65  	
ATLAS_20p1_m34p5_g_SDSS.V0.5.6A.swarp.cut.fits 	1.07  	
