FILE                                           	SEEING	
ATLAS_26p7_m30p5_u_SDSS.V0.5.6A.swarp.cut.fits 	0.98  	
ATLAS_26p9_m32p5_u_SDSS.V0.5.6A.swarp.cut.fits 	0.96  	
ATLAS_27p0_m25p6_u_SDSS.V0.5.6A.swarp.cut.fits 	0.84  	
ATLAS_27p1_m29p6_u_SDSS.V0.5.6A.swarp.cut.fits 	0.97  	
ATLAS_27p2_m34p5_u_SDSS.V0.5.6A.swarp.cut.fits 	1.13  	
ATLAS_27p3_m31p5_u_SDSS.V0.5.6A.swarp.cut.fits 	1.06  	
ATLAS_27p6_m26p6_u_SDSS.V0.5.6A.swarp.cut.fits 	1.04  	
ATLAS_27p6_m28p6_u_SDSS.V0.5.6A.swarp.cut.fits 	1.23  	
ATLAS_27p6_m33p5_u_SDSS.V0.5.6A.swarp.cut.fits 	1.22  	
ATLAS_27p8_m30p5_u_SDSS.V0.5.6A.swarp.cut.fits 	0.98  	
ATLAS_28p0_m32p5_u_SDSS.V0.5.6A.swarp.cut.fits 	0.92  	
ATLAS_28p1_m25p6_u_SDSS.V0.5.6A.swarp.cut.fits 	0.80  	
ATLAS_28p3_m29p6_u_SDSS.V0.5.6A.swarp.cut.fits 	1.03  	
ATLAS_28p4_m34p5_u_SDSS.V0.5.6A.swarp.cut.fits 	0.92  	
ATLAS_28p5_m31p5_u_SDSS.V0.5.6A.swarp.cut.fits 	1.11  	
ATLAS_28p7_m26p6_u_SDSS.V0.5.6A.swarp.cut.fits 	1.14  	
ATLAS_28p8_m28p6_u_SDSS.V0.5.6A.swarp.cut.fits 	1.25  	
ATLAS_28p8_m33p5_u_SDSS.V0.5.6A.swarp.cut.fits 	1.35  	
ATLAS_28p9_m30p5_u_SDSS.V0.5.6A.swarp.cut.fits 	0.95  	
ATLAS_29p2_m25p6_u_SDSS.V0.5.6A.swarp.cut.fits 	0.85  	
ATLAS_29p2_m32p5_u_SDSS.V0.5.6A.swarp.cut.fits 	0.95  	
ATLAS_29p4_m29p6_u_SDSS.V0.5.6A.swarp.cut.fits 	0.98  	
ATLAS_29p6_m31p5_u_SDSS.V0.5.6A.swarp.cut.fits 	1.10  	
ATLAS_29p6_m34p5_u_SDSS.V0.5.6A.swarp.cut.fits 	0.85  	
ATLAS_29p8_m26p6_u_SDSS.V0.5.6A.swarp.cut.fits 	1.21  	
ATLAS_29p9_m28p6_u_SDSS.V0.5.6A.swarp.cut.fits 	1.10  	
ATLAS_2p0_m25p6_u_SDSS.V0.5.6A.swarp.cut.fits  	1.25  	
ATLAS_2p0_m28p6_u_SDSS.V0.5.6A.swarp.cut.fits  	0.93  	
ATLAS_2p4_m26p6_u_SDSS.V0.5.6A.swarp.cut.fits  	0.95  	
ATLAS_2p4_m29p6_u_SDSS.V0.5.6A.swarp.cut.fits  	1.34  	
ATLAS_2p5_m32p5_u_SDSS.V0.5.6A.swarp.cut.fits  	1.24  	
ATLAS_2p7_m27p6_u_SDSS.V0.5.6A.swarp.cut.fits  	1.03  	
ATLAS_2p7_m35p5_u_SDSS.V0.5.6A.swarp.cut.fits  	1.28  	
ATLAS_2p8_m30p6_u_SDSS.V0.5.6A.swarp.cut.fits  	0.98  	
ATLAS_2p9_m33p5_u_SDSS.V0.5.6A.swarp.cut.fits  	0.86  	
ATLAS_30p0_m33p5_u_SDSS.V0.5.6A.swarp.cut.fits 	1.30  	
ATLAS_30p1_m30p5_u_SDSS.V0.5.6A.swarp.cut.fits 	0.99  	
ATLAS_30p3_m25p6_u_SDSS.V0.5.6A.swarp.cut.fits 	0.79  	
ATLAS_30p4_m32p5_u_SDSS.V0.5.6A.swarp.cut.fits 	0.96  	
ATLAS_30p5_m29p6_u_SDSS.V0.5.6A.swarp.cut.fits 	1.00  	
ATLAS_30p7_m34p5_u_SDSS.V0.5.6A.swarp.cut.fits 	1.22  	
ATLAS_30p8_m31p5_u_SDSS.V0.5.6A.swarp.cut.fits 	1.10  	
ATLAS_30p9_m26p6_u_SDSS.V0.5.6A.swarp.cut.fits 	1.01  	
ATLAS_31p0_m28p6_u_SDSS.V0.5.6A.swarp.cut.fits 	1.03  	
ATLAS_31p1_m33p5_u_SDSS.V0.5.6A.swarp.cut.fits 	1.26  	
ATLAS_31p2_m30p5_u_SDSS.V0.5.6A.swarp.cut.fits 	0.91  	
ATLAS_31p4_m25p6_u_SDSS.V0.5.6A.swarp.cut.fits 	0.82  	
ATLAS_31p5_m32p5_u_SDSS.V0.5.6A.swarp.cut.fits 	0.92  	
ATLAS_31p6_m29p6_u_SDSS.V0.5.6A.swarp.cut.fits 	0.97  	
ATLAS_31p9_m31p5_u_SDSS.V0.5.6A.swarp.cut.fits 	1.15  	
ATLAS_31p9_m34p5_u_SDSS.V0.5.6A.swarp.cut.fits 	1.35  	
ATLAS_329p1_m35p5_u_SDSS.V0.5.6A.swarp.cut.fits	1.84  	
ATLAS_329p2_m36p5_u_SDSS.V0.5.6A.swarp.cut.fits	1.18  	
ATLAS_329p4_m25p6_u_SDSS.V0.5.6A.swarp.cut.fits	1.09  	
ATLAS_329p6_m27p6_u_SDSS.V0.5.6A.swarp.cut.fits	1.14  	
ATLAS_329p6_m28p6_u_SDSS.V0.5.6A.swarp.cut.fits	1.20  	
ATLAS_329p8_m30p6_u_SDSS.V0.5.6A.swarp.cut.fits	1.02  	
ATLAS_32p0_m26p6_u_SDSS.V0.5.6A.swarp.cut.fits 	1.04  	
ATLAS_32p1_m28p6_u_SDSS.V0.5.6A.swarp.cut.fits 	0.95  	
ATLAS_32p3_m33p5_u_SDSS.V0.5.6A.swarp.cut.fits 	1.29  	
ATLAS_32p5_m25p6_u_SDSS.V0.5.6A.swarp.cut.fits 	0.76  	
ATLAS_32p7_m32p5_u_SDSS.V0.5.6A.swarp.cut.fits 	0.93  	
ATLAS_32p8_m29p5_u_SDSS.V0.5.6A.swarp.cut.fits 	1.04  	
ATLAS_330p0_m32p5_u_SDSS.V0.5.6A.swarp.cut.fits	1.15  	
ATLAS_330p2_m34p5_u_SDSS.V0.5.6A.swarp.cut.fits	1.10  	
ATLAS_330p3_m35p5_u_SDSS.V0.5.6A.swarp.cut.fits	1.80  	
ATLAS_330p4_m36p5_u_SDSS.V0.5.6A.swarp.cut.fits	1.08  	
ATLAS_330p5_m25p6_u_SDSS.V0.5.6A.swarp.cut.fits	1.10  	
ATLAS_330p7_m27p6_u_SDSS.V0.5.6A.swarp.cut.fits	1.17  	
ATLAS_330p7_m28p6_u_SDSS.V0.5.6A.swarp.cut.fits	1.15  	
ATLAS_330p9_m30p6_u_SDSS.V0.5.6A.swarp.cut.fits	1.02  	
ATLAS_331p0_m31p6_u_SDSS.V0.5.6A.swarp.cut.fits	1.15  	
ATLAS_331p1_m32p5_u_SDSS.V0.5.6A.swarp.cut.fits	1.18  	
ATLAS_331p4_m34p5_u_SDSS.V0.5.6A.swarp.cut.fits	1.14  	
ATLAS_331p5_m35p5_u_SDSS.V0.5.6A.swarp.cut.fits	1.67  	
ATLAS_331p6_m25p6_u_SDSS.V0.5.6A.swarp.cut.fits	1.07  	
ATLAS_331p6_m36p5_u_SDSS.V0.5.6A.swarp.cut.fits	1.21  	
ATLAS_331p8_m27p6_u_SDSS.V0.5.6A.swarp.cut.fits	1.20  	
ATLAS_331p9_m28p6_u_SDSS.V0.5.6A.swarp.cut.fits	1.20  	
ATLAS_332p1_m30p6_u_SDSS.V0.5.6A.swarp.cut.fits	0.90  	
ATLAS_332p2_m31p6_u_SDSS.V0.5.6A.swarp.cut.fits	1.08  	
ATLAS_332p3_m32p5_u_SDSS.V0.5.6A.swarp.cut.fits	1.22  	
ATLAS_332p5_m34p5_u_SDSS.V0.5.6A.swarp.cut.fits	1.06  	
ATLAS_332p7_m25p6_u_SDSS.V0.5.6A.swarp.cut.fits	1.10  	
