FILE TEXPTIME ASTRERR MAGZP MAGZPERR SEEING SEEINERR NCOMBINE MEDIAN MEAN SIGMA MIN MAX
ATLAS_358p2_m33p5_g_SDSS.V0.5.5A.swarp.cut.fits 100.00 0.30 24.82 0.10 0.69 0.01 2 0.00 0.07 0.04 -294.51 2053.03
ATLAS_358p2_m33p5_r_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.68 0.10 0.67 0.01 2 0.00 0.11 0.10 -366.51 2374.38
ATLAS_358p2_m33p5_i_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.30 0.10 1.23 0.05 2 0.00 0.09 0.12 -338.77 2250.75
ATLAS_358p2_m33p5_z_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 23.03 0.10 0.93 0.02 2 0.00 0.04 0.11 -476.61 2416.25
ATLAS_358p6_m31p5_u_SDSS.V0.5.5A.swarp.cut.fits 240.00 0.30 23.08 0.10 0.93 0.01 4 0.00 0.02 0.02 -256.72 1701.15
ATLAS_358p6_m31p5_g_SDSS.V0.5.5A.swarp.cut.fits 100.00 0.30 24.82 0.10 0.93 0.02 2 0.00 0.15 0.05 -324.26 2056.69
ATLAS_358p6_m31p5_r_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.68 0.10 0.73 0.01 2 0.00 0.13 0.08 -381.55 2346.00
ATLAS_358p6_m31p5_i_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.33 0.10 1.08 0.02 2 0.00 0.07 0.14 -313.82 2085.55
ATLAS_358p6_m31p5_z_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 23.08 0.10 0.80 0.01 2 0.00 0.03 0.12 -287.48 2507.29
ATLAS_359p0_m32p5_u_SDSS.V0.5.5A.swarp.cut.fits 180.00 0.30 23.07 0.10 1.08 0.01 3 0.00 0.00 0.03 -42.95 1435.04
ATLAS_359p0_m32p5_g_SDSS.V0.5.5A.swarp.cut.fits 100.00 0.30 24.82 0.10 0.69 0.01 2 0.00 0.03 0.06 -336.35 1957.19
ATLAS_359p0_m32p5_r_SDSS.V0.5.5A.swarp.cut.fits 180.00 0.30 24.69 0.10 1.14 0.02 4 0.00 0.04 0.05 -330.64 2184.60
ATLAS_359p0_m32p5_z_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 23.08 0.10 0.72 0.02 2 0.00 0.01 0.07 -205.65 2243.44
ATLAS_359p4_m30p6_u_SDSS.V0.5.5A.swarp.cut.fits 240.00 0.30 23.05 0.10 0.91 0.01 4 0.00 0.00 0.02 -18.75 1604.77
ATLAS_359p4_m30p6_g_SDSS.V0.5.5A.swarp.cut.fits 100.00 0.30 24.84 0.10 1.29 0.02 2 0.00 0.03 0.05 -182.95 1953.42
ATLAS_359p4_m30p6_r_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.69 0.10 0.70 0.01 2 0.00 0.04 0.15 -346.40 2466.03
ATLAS_359p4_m30p6_i_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.34 0.10 1.00 0.01 2 0.00 0.04 0.09 -303.42 2331.51
ATLAS_359p4_m30p6_z_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 23.08 0.10 0.80 0.01 2 0.00 0.02 0.07 -265.08 2378.43
ATLAS_359p4_m33p5_u_SDSS.V0.5.5A.swarp.cut.fits 120.00 0.30 23.02 0.10 1.06 0.01 2 0.00 0.00 0.04 -197.81 1657.89
ATLAS_359p4_m33p5_g_SDSS.V0.5.5A.swarp.cut.fits 100.00 0.30 24.82 0.10 0.68 0.01 2 0.00 0.05 0.04 -310.88 2112.50
ATLAS_359p4_m33p5_r_SDSS.V0.5.5A.swarp.cut.fits 135.00 0.30 24.68 0.10 0.66 0.01 3 0.00 0.06 0.08 -332.49 2203.23
ATLAS_359p4_m33p5_i_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.30 0.10 1.01 0.01 2 0.00 0.05 0.12 -366.05 2283.86
ATLAS_359p4_m33p5_z_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 23.03 0.10 0.87 0.01 2 0.00 0.02 0.08 -326.56 2178.07
ATLAS_35p0_m29p5_u_SDSS.V0.5.5A.swarp.cut.fits 120.00 0.30 23.09 0.10 1.17 0.02 2 0.00 0.00 0.02 -36.92 1769.31
ATLAS_35p0_m29p5_g_SDSS.V0.5.5A.swarp.cut.fits 100.00 0.30 24.83 0.10 1.15 0.02 2 0.00 0.05 0.05 -347.23 2027.45
ATLAS_35p0_m29p5_r_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.69 0.10 0.91 0.01 2 0.00 0.08 0.10 -362.33 2145.89
ATLAS_35p0_m29p5_z_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 23.08 0.10 1.04 0.02 2 0.00 0.02 0.05 -236.37 2341.89
ATLAS_35p4_m31p5_g_SDSS.V0.5.5A.swarp.cut.fits 100.00 0.30 24.80 0.10 1.19 0.02 2 0.00 0.04 0.05 -246.97 1976.66
ATLAS_35p4_m31p5_r_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.64 0.10 1.05 0.02 2 0.00 0.06 0.06 -379.02 2445.34
ATLAS_35p4_m31p5_i_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.27 0.10 1.20 0.02 2 0.00 0.05 0.11 -386.72 2437.64
ATLAS_35p4_m31p5_z_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 23.00 0.10 0.59 0.01 2 0.00 0.02 0.13 -324.23 2433.65
ATLAS_36p2_m32p5_u_SDSS.V0.5.5A.swarp.cut.fits 240.00 0.30 22.98 0.10 0.95 0.02 4 0.00 0.00 0.02 -14.42 1543.45
ATLAS_36p2_m32p5_g_SDSS.V0.5.5A.swarp.cut.fits 100.00 0.30 24.81 0.10 1.30 0.02 2 0.00 0.04 0.04 -336.47 2040.15
ATLAS_36p2_m32p5_r_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.68 0.10 0.79 0.02 2 0.00 0.06 0.07 -373.61 2237.26
ATLAS_36p2_m32p5_i_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.25 0.10 0.71 0.01 2 0.00 0.05 0.14 -366.15 2428.21
ATLAS_36p2_m32p5_z_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 22.97 0.10 0.53 0.01 2 0.00 0.02 0.09 -340.26 2258.74
ATLAS_37p9_m34p5_u_SDSS.V0.5.5A.swarp.cut.fits 240.00 0.30 23.00 0.10 1.41 0.02 4 0.00 0.00 0.02 -143.45 1942.19
ATLAS_37p9_m34p5_g_SDSS.V0.5.5A.swarp.cut.fits 100.00 0.30 24.81 0.10 0.82 0.01 2 0.00 0.08 0.06 -240.21 2072.40
ATLAS_37p9_m34p5_r_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.69 0.10 0.76 0.01 2 0.00 0.13 0.09 -317.21 2354.80
ATLAS_37p9_m34p5_i_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.27 0.10 0.71 0.01 2 0.00 0.12 0.08 -354.77 2263.02
ATLAS_37p9_m34p5_z_SDSS.V0.5.5A.swarp.cut.fits 180.00 0.30 22.77 0.10 1.10 0.02 4 0.00 0.04 0.07 -318.41 2101.91
ATLAS_38p2_m33p5_u_SDSS.V0.5.5A.swarp.cut.fits 120.00 0.30 22.98 0.10 1.20 0.01 2 0.00 0.01 0.03 -114.37 1890.59
ATLAS_38p2_m33p5_g_SDSS.V0.5.5A.swarp.cut.fits 100.00 0.30 24.84 0.10 0.96 0.01 2 0.00 0.07 0.04 -350.39 2060.43
ATLAS_38p2_m33p5_r_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.66 0.10 1.33 0.02 2 0.00 0.09 0.05 -302.17 2181.94
ATLAS_38p2_m33p5_i_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.30 0.10 0.80 0.01 2 0.00 0.07 0.13 -395.38 2487.67
ATLAS_38p2_m33p5_z_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 22.96 0.10 1.05 0.01 2 0.00 0.03 0.11 -420.52 2678.10
ATLAS_38p5_m32p5_u_SDSS.V0.5.5A.swarp.cut.fits 240.00 0.30 22.98 0.10 1.01 0.02 4 0.00 0.00 0.02 -10.83 1988.40
ATLAS_38p5_m32p5_g_SDSS.V0.5.5A.swarp.cut.fits 100.00 0.30 24.81 0.10 1.38 0.02 2 0.00 0.06 0.04 -304.57 1947.71
ATLAS_38p5_m32p5_r_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.68 0.10 0.76 0.03 2 0.00 0.11 0.06 -395.61 2814.89
ATLAS_38p5_m32p5_i_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.25 0.10 0.64 0.01 2 0.00 0.10 0.09 -398.25 2547.89
ATLAS_38p5_m32p5_z_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 22.97 0.10 0.63 0.01 2 0.00 0.05 0.13 -394.25 2235.83
ATLAS_38p8_m31p5_u_SDSS.V0.5.5A.swarp.cut.fits 120.00 0.30 23.05 0.10 1.06 0.01 2 0.00 0.00 0.04 -92.75 1722.27
ATLAS_38p8_m31p5_g_SDSS.V0.5.5A.swarp.cut.fits 100.00 0.30 24.80 0.10 1.11 0.01 2 0.00 0.06 0.04 -278.98 2033.15
ATLAS_38p8_m31p5_r_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.64 0.10 1.00 0.02 2 0.00 0.08 0.08 -338.86 2152.05
ATLAS_38p8_m31p5_i_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.28 0.10 1.00 0.01 2 0.00 0.07 0.08 -377.47 2252.91
ATLAS_38p8_m31p5_z_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 23.00 0.10 0.78 0.01 2 0.00 0.03 0.13 -395.32 2692.23
ATLAS_39p1_m34p5_u_SDSS.V0.5.5A.swarp.cut.fits 180.00 0.30 23.00 0.10 1.69 0.02 3 0.00 0.01 0.02 -197.29 1546.14
ATLAS_39p1_m34p5_g_SDSS.V0.5.5A.swarp.cut.fits 100.00 0.30 24.81 0.10 0.92 0.02 2 0.00 0.10 0.04 -284.63 1975.59
ATLAS_39p1_m34p5_r_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.69 0.10 0.71 0.01 2 0.00 0.15 0.09 -299.69 2256.43
ATLAS_39p1_m34p5_i_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.27 0.10 0.65 0.01 2 0.00 0.13 0.10 -403.36 2385.48
ATLAS_39p1_m34p5_z_SDSS.V0.5.5A.swarp.cut.fits 135.00 0.30 22.77 0.10 1.04 0.01 3 0.00 0.05 0.08 -349.86 2176.81
ATLAS_39p2_m30p5_u_SDSS.V0.5.5A.swarp.cut.fits 120.00 0.30 23.11 0.10 1.09 0.01 2 0.00 0.01 0.02 -256.11 1991.63
ATLAS_39p2_m30p5_g_SDSS.V0.5.5A.swarp.cut.fits 100.00 0.30 24.84 0.10 0.94 0.03 2 0.00 0.15 0.05 -332.38 3643.17
ATLAS_39p2_m30p5_r_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.71 0.10 1.30 0.10 2 0.00 0.22 0.08 -600.66 5782.17
ATLAS_39p2_m30p5_i_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.29 0.10 0.77 0.01 2 0.00 0.18 0.14 -390.75 2532.39
ATLAS_39p2_m30p5_z_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 23.04 0.10 1.19 0.02 2 0.00 0.08 0.10 -380.70 2370.59
ATLAS_39p3_m33p5_u_SDSS.V0.5.5A.swarp.cut.fits 120.00 0.30 22.98 0.10 1.22 0.01 2 0.00 0.00 0.03 -48.81 1824.28
ATLAS_39p3_m33p5_g_SDSS.V0.5.5A.swarp.cut.fits 100.00 0.30 24.84 0.10 1.06 0.02 2 0.00 0.06 0.06 -302.22 2314.58
ATLAS_39p3_m33p5_r_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.66 0.10 1.46 0.02 2 0.00 0.10 0.07 -481.11 2583.40
ATLAS_39p3_m33p5_i_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.30 0.10 0.76 0.01 2 0.00 0.08 0.13 -396.90 2689.45
ATLAS_39p3_m33p5_z_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 22.96 0.10 1.02 0.01 2 0.00 0.04 0.12 -344.40 2461.18
ATLAS_39p6_m32p5_u_SDSS.V0.5.5A.swarp.cut.fits 240.00 0.30 22.98 0.10 0.92 0.02 4 0.00 0.00 0.03 -16.88 1825.25
ATLAS_39p6_m32p5_g_SDSS.V0.5.5A.swarp.cut.fits 100.00 0.30 24.81 0.10 1.27 0.02 2 0.00 0.04 0.07 -265.71 1970.01
ATLAS_39p6_m32p5_r_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.68 0.10 0.64 0.02 2 0.00 0.05 0.09 -382.88 2350.96
ATLAS_39p6_m32p5_i_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.25 0.10 0.68 0.01 2 0.00 0.04 0.14 -401.28 2539.88
ATLAS_39p6_m32p5_z_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 22.97 0.10 0.64 0.01 2 0.00 0.02 0.08 -284.87 2605.77
ATLAS_40p0_m31p5_u_SDSS.V0.5.5A.swarp.cut.fits 120.00 0.30 23.05 0.10 1.02 0.01 2 0.00 0.00 0.03 -255.66 1569.06
ATLAS_40p0_m31p5_g_SDSS.V0.5.5A.swarp.cut.fits 100.00 0.30 24.80 0.10 1.02 0.01 2 0.00 0.03 0.05 -286.35 2034.89
ATLAS_40p0_m31p5_r_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.64 0.10 0.97 0.02 2 0.00 0.05 0.06 -325.81 2120.01
ATLAS_40p0_m31p5_i_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.28 0.10 0.96 0.01 2 0.00 0.04 0.12 -320.90 2269.68
ATLAS_40p0_m31p5_z_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 23.00 0.10 0.70 0.01 2 0.00 0.02 0.09 -291.88 2197.35
ATLAS_40p2_m34p5_u_SDSS.V0.5.5A.swarp.cut.fits 180.00 0.30 23.00 0.10 1.39 0.03 3 0.00 0.00 0.02 -75.06 1521.26
ATLAS_40p2_m34p5_g_SDSS.V0.5.5A.swarp.cut.fits 100.00 0.30 24.81 0.10 0.85 0.02 2 0.00 0.07 0.06 -279.18 2024.75
ATLAS_40p2_m34p5_r_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.69 0.10 0.76 0.02 2 0.00 0.13 0.08 -346.55 2485.32
ATLAS_40p2_m34p5_i_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.27 0.10 0.61 0.01 2 0.00 0.11 0.12 -448.26 2804.32
ATLAS_40p2_m34p5_z_SDSS.V0.5.5A.swarp.cut.fits 180.00 0.30 22.77 0.10 0.97 0.02 4 0.00 0.05 0.07 -409.22 2418.92
ATLAS_40p3_m30p6_u_SDSS.V0.5.5A.swarp.cut.fits 120.00 0.30 23.04 0.10 1.49 0.02 2 0.00 0.00 0.03 -51.18 1544.88
ATLAS_40p3_m30p6_g_SDSS.V0.5.5A.swarp.cut.fits 100.00 0.30 24.81 0.10 1.43 0.01 2 0.00 0.07 0.04 -337.49 2277.08
ATLAS_40p3_m30p6_r_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.68 0.10 0.91 0.01 2 0.00 0.12 0.07 -332.88 2460.82
ATLAS_40p3_m30p6_i_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.26 0.10 1.02 0.02 2 0.00 0.12 0.12 -398.41 2681.35
ATLAS_40p3_m30p6_z_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 22.96 0.10 1.07 0.02 2 0.00 0.06 0.09 -393.40 2419.80
ATLAS_40p5_m33p5_u_SDSS.V0.5.5A.swarp.cut.fits 120.00 0.30 22.99 0.10 1.25 0.01 2 0.00 0.00 0.03 -62.96 1732.96
ATLAS_40p5_m33p5_g_SDSS.V0.5.5A.swarp.cut.fits 100.00 0.30 24.84 0.10 1.03 0.02 2 0.00 0.07 0.06 -342.71 2160.40
ATLAS_40p5_m33p5_r_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.66 0.10 1.39 0.02 2 0.00 0.12 0.07 -414.55 2254.83
ATLAS_40p5_m33p5_i_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.30 0.10 0.79 0.01 2 0.00 0.10 0.13 -404.31 2478.32
ATLAS_40p5_m33p5_z_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 22.96 0.10 1.12 0.01 2 0.00 0.04 0.12 -356.99 2351.90
ATLAS_40p7_m29p6_u_SDSS.V0.5.5A.swarp.cut.fits 120.00 0.30 23.00 0.10 0.84 0.01 2 0.00 0.00 0.03 -56.21 1801.42
ATLAS_40p7_m29p6_g_SDSS.V0.5.5A.swarp.cut.fits 100.00 0.30 24.80 0.10 1.04 0.01 2 0.00 0.04 0.06 -239.65 2036.04
ATLAS_40p7_m29p6_r_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.66 0.10 0.88 0.01 2 0.00 0.08 0.09 -404.03 2340.84
ATLAS_40p7_m29p6_i_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.25 0.10 0.84 0.01 2 0.00 0.09 0.07 -359.57 2310.40
ATLAS_40p7_m29p6_z_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 23.00 0.10 0.84 0.01 2 0.00 0.06 0.13 -398.88 2346.47
ATLAS_40p8_m32p5_u_SDSS.V0.5.5A.swarp.cut.fits 240.00 0.30 22.98 0.10 0.89 0.03 4 0.00 0.01 0.02 -155.23 1668.10
ATLAS_40p8_m32p5_g_SDSS.V0.5.5A.swarp.cut.fits 100.00 0.30 24.81 0.10 1.40 0.02 2 0.00 0.09 0.05 -347.79 1937.65
ATLAS_40p8_m32p5_r_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.68 0.10 0.62 0.02 2 0.00 0.09 0.06 -389.13 2314.75
ATLAS_40p8_m32p5_i_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.24 0.10 0.67 0.01 2 0.00 0.07 0.14 -345.30 2463.62
ATLAS_40p8_m32p5_z_SDSS.V0.5.5A.swarp.cut.fits 135.00 0.30 22.97 0.10 0.60 0.01 3 0.00 0.03 0.08 -376.95 2384.80
ATLAS_41p1_m31p5_u_SDSS.V0.5.5A.swarp.cut.fits 60.00 0.30 22.98 0.10 1.02 0.01 1 0.00 0.00 0.02 -134.49 1840.43
ATLAS_41p1_m31p5_g_SDSS.V0.5.5A.swarp.cut.fits 100.00 0.30 24.82 0.10 0.67 0.03 2 0.00 0.04 0.05 -353.98 1968.17
ATLAS_41p1_m31p5_r_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.67 0.10 0.85 0.01 2 0.00 0.06 0.10 -369.09 2795.71
ATLAS_41p1_m31p5_i_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.23 0.10 0.90 0.01 2 0.00 0.05 0.08 -342.83 2313.50
ATLAS_41p1_m31p5_z_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 22.96 0.10 0.83 0.03 2 0.00 0.02 0.11 -333.05 2371.23
ATLAS_41p4_m30p5_u_SDSS.V0.5.5A.swarp.cut.fits 120.00 0.30 23.04 0.10 1.35 0.01 2 0.00 0.00 0.04 -80.35 1595.32
ATLAS_41p4_m30p5_g_SDSS.V0.5.5A.swarp.cut.fits 100.00 0.30 24.81 0.10 1.34 0.02 2 0.00 0.04 0.04 -317.75 2037.35
ATLAS_41p4_m30p5_r_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.68 0.10 0.97 0.01 2 0.00 0.06 0.08 -397.23 2253.14
ATLAS_41p4_m30p5_i_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.26 0.10 1.36 0.02 2 0.00 0.05 0.12 -268.47 2283.19
ATLAS_41p4_m30p5_z_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 22.96 0.10 1.08 0.01 2 0.00 0.02 0.10 -151.08 2131.29
ATLAS_41p7_m33p5_u_SDSS.V0.5.5A.swarp.cut.fits 120.00 0.30 22.99 0.10 1.27 0.01 2 0.00 0.00 0.04 -137.79 1851.36
ATLAS_41p7_m33p5_g_SDSS.V0.5.5A.swarp.cut.fits 100.00 0.30 24.84 0.10 0.93 0.01 2 0.00 0.07 0.04 -308.77 2032.35
ATLAS_41p7_m33p5_r_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.66 0.10 1.71 0.02 2 0.00 0.11 0.07 -358.92 2179.01
ATLAS_41p7_m33p5_i_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.30 0.10 0.87 0.01 2 0.00 0.08 0.16 -316.30 2318.38
ATLAS_41p7_m33p5_z_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 22.96 0.10 1.07 0.01 2 0.00 0.04 0.07 -316.62 2628.78
ATLAS_41p8_m29p6_u_SDSS.V0.5.5A.swarp.cut.fits 120.00 0.30 23.00 0.10 0.97 0.01 2 0.00 0.00 0.03 -131.99 1927.75
ATLAS_41p8_m29p6_g_SDSS.V0.5.5A.swarp.cut.fits 100.00 0.30 24.80 0.10 1.15 0.02 2 0.00 0.04 0.04 -272.48 1959.41
ATLAS_41p8_m29p6_r_SDSS.V0.5.5A.swarp.cut.fits 45.00 0.30 24.66 0.10 0.99 0.01 1 0.00 0.06 0.11 -326.67 2282.80
ATLAS_41p8_m29p6_i_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.25 0.10 0.82 0.01 2 0.00 0.05 0.12 -367.02 2422.14
ATLAS_41p8_m29p6_z_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 23.00 0.10 0.88 0.01 2 0.00 0.02 0.08 -335.79 2564.69
ATLAS_42p6_m34p5_u_SDSS.V0.5.5A.swarp.cut.fits 120.00 0.30 23.00 0.10 1.03 0.01 2 0.00 0.00 0.04 -85.93 1234.75
ATLAS_42p6_m34p5_g_SDSS.V0.5.5A.swarp.cut.fits 100.00 0.30 24.81 0.10 1.00 0.01 2 0.00 0.03 0.04 -347.93 1948.38
ATLAS_42p6_m34p5_r_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.69 0.10 0.61 0.01 2 0.00 0.05 0.10 -326.35 2200.91
ATLAS_42p6_m34p5_i_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.27 0.10 0.64 0.01 2 0.00 0.04 0.12 -374.98 2396.97
ATLAS_42p6_m34p5_z_SDSS.V0.5.5A.swarp.cut.fits 135.00 0.30 22.77 0.10 0.89 0.01 3 0.00 0.02 0.07 -267.58 2440.00
ATLAS_42p9_m33p5_u_SDSS.V0.5.5A.swarp.cut.fits 360.00 0.30 23.05 0.10 1.10 0.01 6 0.00 0.00 0.02 -10.71 1563.75
ATLAS_42p9_m33p5_g_SDSS.V0.5.5A.swarp.cut.fits 100.00 0.30 24.82 0.10 0.97 0.01 2 0.00 0.04 0.05 -209.76 2024.86
ATLAS_42p9_m33p5_r_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.62 0.10 1.51 0.03 2 0.00 0.06 0.06 -347.54 2554.68
ATLAS_42p9_m33p5_i_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.23 0.10 0.91 0.01 2 0.00 0.05 0.13 -344.62 2608.47
ATLAS_42p9_m33p5_z_SDSS.V0.5.5A.swarp.cut.fits 270.00 0.30 22.91 0.10 0.70 0.01 6 0.00 0.02 0.05 -274.68 2591.20
ATLAS_43p1_m32p5_u_SDSS.V0.5.5A.swarp.cut.fits 120.00 0.30 23.04 0.10 0.69 0.01 2 0.00 0.00 0.04 -91.49 1673.14
ATLAS_43p1_m32p5_g_SDSS.V0.5.5A.swarp.cut.fits 100.00 0.30 24.83 0.10 1.08 0.01 2 0.00 0.05 0.05 -301.78 1966.28
ATLAS_43p1_m32p5_r_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.69 0.10 0.80 0.01 2 0.00 0.04 0.08 -389.05 2439.31
ATLAS_43p1_m32p5_i_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.29 0.10 1.53 0.02 2 0.00 0.06 0.09 -368.20 2209.53
ATLAS_43p1_m32p5_z_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 22.59 0.10 1.04 0.02 2 0.00 0.02 0.10 -261.51 2136.65
ATLAS_43p4_m31p5_u_SDSS.V0.5.5A.swarp.cut.fits 120.00 0.30 23.05 0.10 0.93 0.01 2 0.00 0.00 0.03 -91.82 1795.63
ATLAS_43p4_m31p5_g_SDSS.V0.5.5A.swarp.cut.fits 100.00 0.30 24.82 0.10 0.65 0.02 2 0.00 0.05 0.04 -336.87 2047.79
ATLAS_43p4_m31p5_r_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.67 0.10 0.84 0.01 2 0.00 0.06 0.10 -374.88 2102.60
ATLAS_43p4_m31p5_i_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.23 0.10 0.92 0.01 2 0.00 0.05 0.08 -328.14 2717.15
ATLAS_43p4_m31p5_z_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 22.96 0.10 0.78 0.02 2 0.00 0.02 0.07 -302.53 2342.88
ATLAS_43p7_m30p5_u_SDSS.V0.5.5A.swarp.cut.fits 120.00 0.30 23.04 0.10 1.09 0.01 2 0.00 0.00 0.02 -60.98 1957.56
ATLAS_43p7_m30p5_g_SDSS.V0.5.5A.swarp.cut.fits 150.00 0.30 24.81 0.10 1.46 0.02 3 0.00 0.05 0.03 -366.36 1988.13
ATLAS_43p7_m30p5_r_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.68 0.10 0.94 0.01 2 0.00 0.08 0.06 -349.43 2213.04
ATLAS_43p7_m30p5_i_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.26 0.10 1.12 0.01 2 0.00 0.07 0.11 -377.81 2608.50
ATLAS_43p7_m30p5_z_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 22.96 0.10 1.06 0.01 2 0.00 0.03 0.09 -357.42 2332.42
ATLAS_43p8_m34p5_u_SDSS.V0.5.5A.swarp.cut.fits 120.00 0.30 23.09 0.10 0.99 0.01 2 0.00 0.00 0.03 -91.58 1634.89
ATLAS_43p8_m34p5_g_SDSS.V0.5.5A.swarp.cut.fits 200.00 0.30 24.85 0.10 0.70 0.01 4 0.00 0.04 0.04 -298.52 2115.51
ATLAS_43p8_m34p5_r_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.68 0.10 0.85 0.01 2 0.00 0.06 0.06 -364.76 2319.51
ATLAS_43p8_m34p5_i_SDSS.V0.5.5A.swarp.cut.fits 135.00 0.30 24.25 0.10 0.61 0.01 3 0.00 0.05 0.09 -349.48 2364.28
ATLAS_43p8_m34p5_z_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 23.03 0.10 0.97 0.02 2 0.00 0.02 0.14 -436.06 2419.72
ATLAS_44p0_m29p6_u_SDSS.V0.5.5A.swarp.cut.fits 120.00 0.30 23.00 0.10 1.01 0.02 2 0.00 0.01 0.03 -211.16 1785.95
ATLAS_44p0_m29p6_g_SDSS.V0.5.5A.swarp.cut.fits 100.00 0.30 24.80 0.10 1.33 0.01 2 0.00 0.10 0.04 -356.04 2117.77
