FILE TEXPTIME ASTRERR MAGZP MAGZPERR SEEING SEEINERR NCOMBINE MEDIAN MEAN SIGMA MIN MAX
ATLAS_340p4_m32p5_z_SDSS.V0.5.5A.swarp.cut.fits 135.00 0.30 22.99 0.10 0.86 0.02 3 0.00 0.03 0.09 -264.60 2270.93
ATLAS_341p2_m30p6_u_SDSS.V0.5.5A.swarp.cut.fits 240.00 0.30 23.07 0.10 1.36 0.02 4 0.00 0.00 0.02 -16.58 1441.38
ATLAS_341p2_m30p6_g_SDSS.V0.5.5A.swarp.cut.fits 100.00 0.30 24.81 0.10 0.87 0.01 2 0.00 0.05 0.05 -301.31 2277.31
ATLAS_341p2_m30p6_r_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.68 0.10 1.10 0.01 2 0.00 0.08 0.09 -333.52 2233.66
ATLAS_341p4_m31p6_u_SDSS.V0.5.5A.swarp.cut.fits 240.00 0.30 23.06 0.10 0.97 0.01 4 0.00 0.00 0.02 -62.96 1697.31
ATLAS_341p4_m31p6_g_SDSS.V0.5.5A.swarp.cut.fits 100.00 0.30 24.83 0.10 0.73 0.01 2 0.00 0.04 0.04 -323.42 2056.75
ATLAS_341p4_m31p6_r_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.71 0.10 0.85 0.02 2 0.00 0.06 0.11 -405.99 2268.11
ATLAS_341p4_m31p6_i_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.31 0.10 0.85 0.01 2 0.00 0.05 0.11 -387.63 2310.44
ATLAS_341p4_m31p6_z_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 23.08 0.10 0.81 0.02 2 0.00 0.02 0.12 -249.67 2254.14
ATLAS_341p6_m32p5_u_SDSS.V0.5.5A.swarp.cut.fits 240.00 0.30 23.06 0.10 1.28 0.02 4 0.00 0.00 0.02 -74.35 1467.41
ATLAS_341p6_m32p5_i_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.29 0.10 1.12 0.02 2 0.00 0.08 0.12 -347.73 2400.47
ATLAS_341p6_m32p5_z_SDSS.V0.5.5A.swarp.cut.fits 135.00 0.30 23.00 0.10 0.87 0.02 3 0.00 0.04 0.11 -342.39 2211.21
ATLAS_342p7_m32p5_u_SDSS.V0.5.5A.swarp.cut.fits 240.00 0.30 23.07 0.10 1.28 0.01 4 0.00 0.04 0.02 -275.45 1902.04
ATLAS_342p7_m32p5_g_SDSS.V0.5.5A.swarp.cut.fits 100.00 0.30 24.82 0.10 0.73 0.01 2 0.00 0.30 0.04 -360.22 2109.46
ATLAS_342p7_m32p5_r_SDSS.V0.5.5A.swarp.cut.fits 180.00 0.30 24.69 0.10 1.22 0.02 4 0.00 0.32 0.04 -389.55 2825.19
ATLAS_342p7_m32p5_z_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 23.08 0.10 0.76 0.01 2 0.00 0.08 0.10 -363.80 2355.60
ATLAS_343p0_m33p5_u_SDSS.V0.5.5A.swarp.cut.fits 240.00 0.30 23.05 0.10 0.97 0.01 4 0.00 0.00 0.02 -10.30 1039.85
ATLAS_343p0_m33p5_g_SDSS.V0.5.5A.swarp.cut.fits 100.00 0.30 24.81 0.10 0.83 0.01 2 0.00 0.04 0.04 -411.41 2051.40
ATLAS_343p0_m33p5_r_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.68 0.10 0.66 0.01 2 0.00 0.06 0.08 -347.09 2239.08
ATLAS_343p0_m33p5_i_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.30 0.10 1.11 0.01 2 0.00 0.05 0.08 -258.01 2137.62
ATLAS_343p0_m33p5_z_SDSS.V0.5.5A.swarp.cut.fits 405.00 0.30 23.04 0.10 0.63 0.01 9 0.00 0.02 0.05 -208.80 2288.64
