ATLAS_16.8_-38.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_17.6_-14.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_17.6_-39.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_184.4_-9.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_184.5_-10.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_185.4_-9.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_185.5_-10.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_186.4_-9.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_186.5_-10.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_187.4_-9.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_187.5_-10.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_188.4_-9.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_188.5_-10.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_189.4_-9.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_189.5_-10.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_18.1_-38.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_18.6_-14.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_18.9_-39.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_190.4_-9.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_190.5_-10.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_191.4_-9.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_191.5_-10.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_192.4_-9.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_192.5_-10.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_193.4_-9.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_193.5_-10.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_194.4_-9.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_194.5_-10.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_195.4_-9.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_195.5_-10.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_196.4_-9.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_196.5_-10.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_197.4_-9.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_197.5_-10.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_198.4_-9.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_198.5_-10.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_199.4_-9.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_199.5_-10.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_19.3_-38.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_19.6_-14.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_1.3_-37.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_1.4_-14.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_1.4_-23.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_1.5_-15.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_1.7_-24.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_200.4_-9.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_200.5_-10.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_200.8_-2.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_200.8_-3.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_201.7_-2.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_201.8_-3.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_202.7_-2.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_202.8_-3.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_203.7_-2.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_203.8_-3.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_204.7_-2.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_204.7_-3.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_205.7_-2.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_205.7_-3.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_206.7_-2.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_206.7_-3.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_207.6_-2.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_207.7_-3.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_208.6_-2.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_208.7_-3.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_209.6_-2.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_209.7_-3.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_20.2_-39.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_20.6_-38.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_20.7_-14.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_210.6_-2.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_210.7_-3.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_211.6_-2.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_211.6_-3.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_212.6_-2.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_212.6_-3.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_213.6_-2.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_213.6_-3.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_214.5_-2.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_214.6_-3.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_215.5_-2.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_215.6_-3.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_216.5_-2.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_216.6_-3.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_217.5_-2.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_217.6_-3.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_218.3_-9.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_218.5_-2.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_218.5_-3.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_219.0_-12.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_219.3_-9.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_219.5_-2.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_219.5_-3.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_21.4_-39.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_21.7_-14.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_21.8_-38.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_220.0_-12.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_220.2_-16.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_220.3_-9.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_220.5_-17.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_220.5_-2.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_220.5_-3.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_221.0_-12.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_221.2_-16.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_221.3_-9.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_221.4_-2.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_221.5_-3.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_221.6_-17.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_222.0_-12.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_222.2_-16.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_222.3_-9.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_222.4_-2.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_222.5_-3.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_222.6_-17.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_223.0_-12.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_223.2_-16.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_223.3_-9.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_223.4_-2.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_223.5_-3.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
