ATLAS_218.5_-3.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_218.7_-11.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_219.0_-12.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_219.2_-13.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_219.5_-2.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_219.5_-3.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_219.7_-11.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_21.5_-17.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_21.7_-14.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_220.0_-12.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_220.2_-13.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_220.5_-2.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_220.5_-3.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_220.7_-11.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_221.0_-12.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_221.3_-13.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_221.4_-2.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_221.5_-3.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_221.7_-11.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_222.0_-12.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_222.3_-13.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_222.4_-2.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_222.5_-3.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_222.7_-11.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_223.0_-12.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_223.3_-13.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_223.4_-2.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_223.5_-3.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_223.7_-11.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_224.0_-12.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_224.3_-13.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_224.4_-2.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_224.5_-3.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_224.7_-11.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_225.0_-12.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_225.3_-13.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_225.4_-2.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_225.4_-3.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_225.7_-11.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_226.0_-12.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_226.3_-13.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_226.4_-2.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_226.4_-3.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_226.8_-11.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_227.0_-12.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_227.3_-13.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_227.4_-2.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_227.4_-3.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_227.8_-11.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_228.0_-12.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_228.3_-13.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_228.3_-2.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_228.4_-3.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_228.8_-11.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_229.0_-12.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_229.3_-13.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_229.3_-2.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_229.4_-3.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_229.8_-11.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_22.6_-17.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_22.7_-14.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_230.0_-12.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_230.3_-2.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_230.4_-13.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_230.4_-3.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_230.8_-11.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_231.0_-12.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_231.3_-2.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_231.4_-13.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_231.4_-3.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_231.8_-11.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_232.1_-12.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
