# IMAGENAME e1 e2 V0.5.6A RZP SEEING
OMEGA.2011-08-28T08:26:54.698 -0.000764003 -0.00547126 1 0.0515490 0.962503
OMEGA.2011-08-28T08:28:39.079 0.00149532 -0.00985338 1 0.0499380 0.878163
OMEGA.2011-09-28T07:15:20.805 0.0312326 -0.0119523 1 -0.0375720 0.718265
OMEGA.2011-09-28T07:17:03.547 0.0306537 -0.0182576 1 -0.0406650 0.726050
OMEGA.2012-08-24T08:48:04.610 -0.00110365 -0.00128419 1 -0.0138960 1.12961
OMEGA.2012-08-24T08:49:52.610 0.000233774 0.00112991 0 -0.00935500 1.25666
OMEGA.2011-08-17T09:37:54.135 -0.0818675 0.0356637 1 0.000769000 0.792786
OMEGA.2011-08-17T09:39:22.556 -0.0681887 0.0311811 1 -0.000769000 0.690191
OMEGA.2012-06-24T09:32:19.358 -0.0283736 0.0157202 1 -0.000471000 0.654607
OMEGA.2012-06-24T09:33:51.818 -0.0227717 0.00750066 1 0.000471000 0.640975
OMEGA.2011-09-26T03:45:17.414 0.00964272 0.00861808 1 0.00166400 0.975419
OMEGA.2011-09-26T03:46:43.425 -0.00110628 0.0269317 1 -0.00166400 1.05482
OMEGA.2011-11-21T03:58:27.680 -0.000678791 -0.00884163 1 0.00106400 0.840081
OMEGA.2011-11-21T03:59:53.451 0.0136949 -0.00614987 1 -0.00106400 0.881248
OMEGA.2011-12-15T02:08:46.581 0.0212945 -0.00195733 1 -0.000845000 0.982287
OMEGA.2011-12-15T02:10:27.332 0.0115516 -0.00126415 1 0.000845000 1.09683
OMEGA.2011-09-26T07:22:03.252 -0.0175038 -0.0158998 1 -0.000173000 0.738486
OMEGA.2011-09-26T07:23:30.592 -0.0182125 -0.00223839 1 0.000173000 0.728646
OMEGA.2011-11-17T04:07:49.137 0.00421210 0.00413220 1 0.000652000 0.945621
OMEGA.2011-11-17T04:09:22.037 0.00892748 0.000730093 1 -0.000652000 0.948485
OMEGA.2011-10-20T06:42:23.572 -0.0336870 0.0253986 1 0.00161300 0.861205
OMEGA.2011-10-20T06:43:49.263 -0.0190289 0.0104012 1 -0.00161300 0.856850
OMEGA.2012-08-15T05:37:30.893 0.0168230 -0.00418286 1 0.00197900 1.09554
OMEGA.2012-08-15T05:38:56.304 0.0243403 0.00317993 1 -0.00197900 1.23241
OMEGA.2011-10-20T01:46:04.575 0.0170163 0.00570311 1 -0.00123600 0.971551
OMEGA.2011-10-20T01:47:47.356 0.0117737 0.00301457 1 0.00123600 1.00998
OMEGA.2011-11-06T01:17:20.980 -0.000856188 -0.00807316 1 0.000336000 0.875431
OMEGA.2011-11-06T01:18:46.003 0.00124694 -0.0199067 1 -0.000336000 0.822125
OMEGA.2012-10-15T01:49:46.861 0.00455203 0.0357047 1 -0.000440000 1.52496
OMEGA.2012-10-15T01:51:19.382 0.00942781 0.00346879 1 0.000440000 1.50936
OMEGA.2011-11-05T00:59:55.911 -0.0738202 -0.147137 1 -0.00216900 0.887970
OMEGA.2011-11-05T01:01:21.122 -0.129589 -0.185442 1 0.00216900 1.06033
OMEGA.2012-08-12T07:54:41.216 -0.00426208 0.00854910 1 -0.000302000 1.03558
OMEGA.2012-08-12T07:56:07.566 0.00379140 0.0115195 1 0.000302000 1.04891
OMEGA.2011-10-21T05:46:56.067 -0.0199869 -0.00990855 1 0.000970000 1.16076
OMEGA.2011-10-21T05:48:36.748 -0.0172429 0.0108585 1 -0.000970000 1.17371
OMEGA.2012-07-08T08:56:41.172 -0.0124900 0.00999142 1 0.00590000 0.495124
